821|70
67|818
843|92
78|829
81|832
99|850
762|11
87|838
74|825
751|0
140|263
764|13
826|75
18|769
83|834
77|828
836|85
151|311
385|427
36|787
63|814
147|287
65|816
810|59
29|780
35|786
778|27
792|41
57|808
813|62
25|776
793|42
49|800
54|805
789|38
44|795
64|815
646|358
779|28
52|803
46|797
45|796
37|788
782|31
806|55
807|56
61|812
48|799
32|783
50|801
39|790
774|23
777|26
40|791
781|30
784|33
804|53
798|47
58|809
775|24
114|162
754|3
8|759
21|772
5|756
16|767
755|4
835|84
757|6
831|80
844|93
765|14
86|837
770|19
